GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_123.graphml,0,0,0,25000,25000,0,1.00016593933105,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1230.graphml,0,3,336,629,5000,4371,46.9999313354492, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1231.graphml,2,6,192,651,5000,4349,35.0000858306885, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1232.graphml,16,38,628,1083,5000,3917,148.999929428101, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1233.graphml,4,8,128,450,5000,4550,16.0000324249268, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1234.graphml,4,8,264,1083,5000,3917,190.999984741211, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1235.graphml,4,8,128,450,5000,4550,13.0000114440918, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1236.graphml,16,16,7,2196,5000,2804,12.0000839233398,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1237.graphml,16,16,7,2196,5000,2804,9.00006294250488,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1238.graphml,32,48,301,5824,10000,4176,125, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1239.graphml,5,7,204,1304,10000,8696,38.0001068115234, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_124.graphml,0,0,0,25000,25000,0,0.999927520751953,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1240.graphml,2,2,67,456,10000,9544,29.9999713897705,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1241.graphml,2,2,67,456,10000,9544,30.9998989105225,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1243.graphml,0,2,0,1624,2500,876,1.00016593933105,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1244.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1245.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1246.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1247.graphml,0,21,64,144,2500,2356,4.00018692016602,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1248.graphml,0,21,64,144,2500,2356,4.99987602233887,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_125.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1254.graphml,2048,8192,22,526,5000,4474,154.999971389771,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1257.graphml,1944,14592,19,91,2500,2409,20.0002193450928,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_126.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1260.graphml,24,180,3016,38,2500,2462,1064.00012969971,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1264.graphml,62,94,137,122,2500,2378,263.000249862671, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1267.graphml,36,36,59,1246,2500,1254,19.0000534057617, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_127.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1271.graphml,4,84,185,382,5000,4618,6.99996948242188,**
