GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1190.graphml,60,307,477,343,2500,2157,0.1484, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1191.graphml,8,68,977,54,2500,2446,0.1421, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1192.graphml,8,68,977,54,2500,2446,0.155, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1193.graphml,8,68,977,54,2500,2446,0.1604, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1194.graphml,37,72,659,116,2857,2741,0.1592, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1195.graphml,8,17,245,8350,10000,1650,0.1039, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1196.graphml,0,3,430,0,1388,1388,0.133, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1197.graphml,0,3,430,0,1388,1388,0.1183, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1198.graphml,0,0,0,25000,25000,0,0.0186,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1199.graphml,15,327,4114,71,2500,2429,0.6594, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_120.graphml,0,0,0,25000,25000,0,0.033,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1200.graphml,15,267,5452,45,2500,2455,1.0623, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1201.graphml,15,327,4812,45,2500,2455,1.5196, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1202.graphml,15,327,4114,71,2500,2429,0.7237, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1203.graphml,12,24,524,473,2500,2027,0.1769, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1204.graphml,3,7,450,657,2500,1843,1.0103, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1205.graphml,3,7,450,657,2500,1843,1.0734, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1206.graphml,231,288,2529,644,2500,1856,0.2021, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1207.graphml,0,1,480,2040,2500,460,0.1799, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1208.graphml,0,1,480,2040,2500,460,0.1273, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1209.graphml,0,0,0,4682,5000,318,0.0279,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_121.graphml,0,0,0,25000,25000,0,0.0264,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1210.graphml,0,0,0,4682,5000,318,0.0267,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1211.graphml,288,369,1321,272,2500,2228,1.5157, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1212.graphml,288,353,1029,272,2500,2228,1.1735, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1216.graphml,10,11,41,23340,25000,1660,0.1904, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1217.graphml,85,165,693,23409,25000,1591,0.0949, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_122.graphml,0,0,0,25000,25000,0,0.024,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1220.graphml,45,165,1453,23409,25000,1591,0.1823, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1223.graphml,165,165,313,23409,25000,1591,0.3446, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1225.graphml,324000,468000,1403,896,25000,24104,0.3485, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1226.graphml,140,154,67,21940,25000,3060,0.0736, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1227.graphml,140,147,3,22514,25000,2486,0.1871, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1228.graphml,13,16,451,7343,10000,2657,0.1646, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1229.graphml,48,104,764,2862,5000,2138,0.2214, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_123.graphml,0,0,0,25000,25000,0,0.0279,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1230.graphml,0,2,776,204,5000,4796,0.1667, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1231.graphml,4,14,660,1305,5000,3695,0.1487, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1232.graphml,24,54,1544,2862,5000,2138,0.2965, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1233.graphml,8,20,354,1305,5000,3695,0.0703, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1234.graphml,12,20,2672,1523,5000,3477,0.4545, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1235.graphml,8,20,354,1305,5000,3695,0.0676, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1236.graphml,18,49,64,3443,5000,1557,0.0763, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1237.graphml,18,49,64,3443,5000,1557,0.0766, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1238.graphml,64,81,1300,8075,10000,1925,0.1153, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1239.graphml,10,14,805,3385,10000,6615,0.0964, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_124.graphml,0,0,0,25000,25000,0,0.0189,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1240.graphml,5,5,324,3385,10000,6615,0.0703, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1241.graphml,5,5,324,3385,10000,6615,0.0745, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1243.graphml,0,5,17,1887,2500,613,0.0432, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1244.graphml,0,0,0,2500,2500,0,0.0507,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1245.graphml,0,0,0,2500,2500,0,0.0144,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1246.graphml,0,0,0,2500,2500,0,0.0183,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1247.graphml,0,21,160,459,2500,2041,0.0618, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1248.graphml,0,21,160,459,2500,2041,0.0504, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_125.graphml,0,0,0,25000,25000,0,0.0225,*
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1254.graphml,6208,14368,6476,526,5000,4474,0.4365, 
