GraphPath, ThroughputCost, LatencyCost, RegisterCost, Slack, TargetPeriod, ResultingPeriod, ExecutionTime(ms)
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1216.graphml,10,10,33,23188,25000,1812,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1217.graphml,17,33,133,22161,25000,2839,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_122.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1220.graphml,9,33,333,22161,25000,2839,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1223.graphml,33,33,33,22490,25000,2510,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1225.graphml,114000,354000,321,567,25000,24433,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1226.graphml,70,77,1,21940,25000,3060,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1227.graphml,70,77,1,22272,25000,2728,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1228.graphml,4,4,72,6016,10000,3984,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1229.graphml,16,52,98,1412,5000,3588,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_123.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1230.graphml,0,2,320,629,5000,4371,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1231.graphml,2,6,128,320,5000,4680,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1232.graphml,8,28,196,1083,5000,3917,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1233.graphml,4,8,96,362,5000,4638,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1234.graphml,4,8,264,1083,5000,3917,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1235.graphml,4,8,96,362,5000,4638,0, 
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1236.graphml,16,16,7,2196,5000,2804,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1237.graphml,16,16,7,2196,5000,2804,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1238.graphml,16,32,68,5552,10000,4448,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1239.graphml,4,6,153,393,10000,9607,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_124.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1240.graphml,2,2,51,456,10000,9544,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1241.graphml,2,2,51,456,10000,9544,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1243.graphml,0,2,0,1624,2500,876,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1244.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1245.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1246.graphml,0,0,0,2500,2500,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1247.graphml,0,21,64,144,2500,2356,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1248.graphml,0,21,64,144,2500,2356,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_125.graphml,0,0,0,25000,25000,0,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1254.graphml,2048,8192,21,526,5000,4474,0,**
C:\Users\akeller9\workspace\niDelayGraph\DataSets\DelayGraph_1257.graphml,1944,14592,19,91,2500,2409,0,**
